"プロット タイトル: 11000848"
"#","日付 時間, GMT+09:00","温度, °C"
303,06/05/2017 02:00:00 午後,25.428
304,06/05/2017 03:00:00 午後,25.817
305,06/05/2017 04:00:00 午後,25.963
306,06/05/2017 05:00:00 午後,25.623
307,06/05/2017 06:00:00 午後,25.453
308,06/05/2017 07:00:00 午後,25.283
309,06/05/2017 08:00:00 午後,25.040
310,06/05/2017 09:00:00 午後,24.823
311,06/05/2017 10:00:00 午後,24.677
312,06/05/2017 11:00:00 午後,24.557
313,06/06/2017 12:00:00 午前,24.460
314,06/06/2017 01:00:00 午前,24.388
315,06/06/2017 02:00:00 午前,24.339
316,06/06/2017 03:00:00 午前,24.315
317,06/06/2017 04:00:00 午前,24.219
318,06/06/2017 05:00:00 午前,24.146
319,06/06/2017 06:00:00 午前,24.074
320,06/06/2017 07:00:00 午前,24.074
321,06/06/2017 08:00:00 午前,24.195
322,06/06/2017 09:00:00 午前,24.436
323,06/06/2017 10:00:00 午前,24.702
324,06/06/2017 11:00:00 午前,24.823
325,06/06/2017 12:00:00 午後,24.919
326,06/06/2017 01:00:00 午後,24.823
327,06/06/2017 02:00:00 午後,24.388
328,06/06/2017 03:00:00 午後,24.219
329,06/06/2017 04:00:00 午後,24.412
330,06/06/2017 05:00:00 午後,24.219
331,06/06/2017 06:00:00 午後,24.219
332,06/06/2017 07:00:00 午後,24.315
333,06/06/2017 08:00:00 午後,24.339
334,06/06/2017 09:00:00 午後,24.339
335,06/06/2017 10:00:00 午後,24.315
336,06/06/2017 11:00:00 午後,24.291
337,06/07/2017 12:00:00 午前,24.267
338,06/07/2017 01:00:00 午前,24.243
339,06/07/2017 02:00:00 午前,24.267
340,06/07/2017 03:00:00 午前,24.267
341,06/07/2017 04:00:00 午前,24.267
342,06/07/2017 05:00:00 午前,24.243
343,06/07/2017 06:00:00 午前,24.243
344,06/07/2017 07:00:00 午前,24.171
345,06/07/2017 08:00:00 午前,24.122
346,06/07/2017 09:00:00 午前,24.122
347,06/07/2017 10:00:00 午前,24.122
348,06/07/2017 11:00:00 午前,24.146
349,06/07/2017 12:00:00 午後,24.195
350,06/07/2017 01:00:00 午後,24.171
351,06/07/2017 02:00:00 午後,24.122
352,06/07/2017 03:00:00 午後,24.219
353,06/07/2017 04:00:00 午後,24.315
354,06/07/2017 05:00:00 午後,24.339
355,06/07/2017 06:00:00 午後,24.267
356,06/07/2017 07:00:00 午後,24.098
357,06/07/2017 08:00:00 午後,23.881
358,06/07/2017 09:00:00 午後,23.930
359,06/07/2017 10:00:00 午後,23.978
360,06/07/2017 11:00:00 午後,23.954
361,06/08/2017 12:00:00 午前,23.857
362,06/08/2017 01:00:00 午前,23.857
363,06/08/2017 02:00:00 午前,23.833
364,06/08/2017 03:00:00 午前,23.785
365,06/08/2017 04:00:00 午前,23.689
366,06/08/2017 05:00:00 午前,23.617
367,06/08/2017 06:00:00 午前,23.641
368,06/08/2017 07:00:00 午前,23.665
369,06/08/2017 08:00:00 午前,23.713
370,06/08/2017 09:00:00 午前,23.761
371,06/08/2017 10:00:00 午前,23.833
372,06/08/2017 11:00:00 午前,23.785
373,06/08/2017 12:00:00 午後,23.978
374,06/08/2017 01:00:00 午後,24.122
375,06/08/2017 02:00:00 午後,24.195
376,06/08/2017 03:00:00 午後,24.243
377,06/08/2017 04:00:00 午後,24.243
378,06/08/2017 05:00:00 午後,24.219
379,06/08/2017 06:00:00 午後,24.146
380,06/08/2017 07:00:00 午後,24.002
381,06/08/2017 08:00:00 午後,23.737
382,06/08/2017 09:00:00 午後,23.400
383,06/08/2017 10:00:00 午後,23.136
384,06/08/2017 11:00:00 午後,22.800
385,06/09/2017 12:00:00 午前,22.705
386,06/09/2017 01:00:00 午前,22.609
387,06/09/2017 02:00:00 午前,22.585
388,06/09/2017 03:00:00 午前,22.537
389,06/09/2017 04:00:00 午前,22.489
390,06/09/2017 05:00:00 午前,22.369
391,06/09/2017 06:00:00 午前,22.298
392,06/09/2017 07:00:00 午前,22.441
393,06/09/2017 08:00:00 午前,22.992
394,06/09/2017 09:00:00 午前,23.400
395,06/09/2017 10:00:00 午前,23.689
396,06/09/2017 11:00:00 午前,23.857
397,06/09/2017 12:00:00 午後,23.737
398,06/09/2017 01:00:00 午後,23.809
399,06/09/2017 02:00:00 午後,24.050
400,06/09/2017 03:00:00 午後,24.098
401,06/09/2017 04:00:00 午後,23.930
402,06/09/2017 05:00:00 午後,23.857
403,06/09/2017 06:00:00 午後,23.833
404,06/09/2017 07:00:00 午後,23.617
405,06/09/2017 08:00:00 午後,22.824
406,06/09/2017 09:00:00 午後,22.082
407,06/09/2017 10:00:00 午後,21.652
408,06/09/2017 11:00:00 午後,21.318
